Académie,Département,Etablissement,Ville,UAI,Code commune,Secteur,Nombre d'élèves présents au Bac,Taux de réussite bruts TOTAL,Taux de mentions bruts,Effectifs à la rentrée N 2nde,Effectifs à la rentrée N 1ère,Effectifs à la rentrée N Term.
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.),BARCELONNETTE,0040003G,4019,PU,31,94,61,49,49,37
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE ALEXANDRA DAVID NEEL,DIGNE LES BAINS,0040027H,4070,PU,253,92,55,196,238,220
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE PIERRE-GILLES DE GENNES,DIGNE LES BAINS,0040490L,4070,PU,175,94,64,182,175,166
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE FELIX ESCLANGON,MANOSQUE,0040010P,4112,PU,313,92,59,318,337,331
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE LES ISCLES (GENERAL ET TECHNO.),MANOSQUE,0040533H,4112,PU,181,97,71,246,190,209
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE COLLEGE ECOLE INTERNATIONALE PACA,MANOSQUE,0040587S,4112,PU,38,100,87,81,69,68
AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,LYCEE PAUL ARENE (GENERAL ET TECHNO.),SISTERON,0040023D,4209,PU,118,96,65,132,135,131
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE EMILE ZOLA (GENERAL ET TECHNO.),AIX EN PROVENCE,0130001F,13001,PU,532,98,68,502,522,539
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE PAUL CEZANNE,AIX EN PROVENCE,0130002G,13001,PU,515,97,72,485,505,486
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE VAUVENARGUES (GENERAL ET TECHNO.),AIX EN PROVENCE,0130003H,13001,PU,415,98,73,387,369,422
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE NATIVITE (LA),AIX EN PROVENCE,0131319N,13001,PR,277,100,96,342,317,295
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE STE CATHERINE DE SIENNE,AIX EN PROVENCE,0131320P,13001,PR,57,100,74,85,66,73
AIX-MARSEILLE,BOUCHES-DU-RHONE,LYCEE ST ELOI (GENERAL ET TECHNO.),AIX EN PROVENCE,0131391S,13001,PR,61,100,59,71,61,46
