Identifiant_de_l_etablissement,Etablissement,Libellé académie,Libellé département,Libellé commune,Secteur,Candidats au DNB Série générale,Note Brute Série générale Note ecrit
0010002X,COLLEGE SAINT-EXUPERY,LYON,AIN,AMBERIEU EN BUGEY,PU,165,"10,2"
0010005A,COLLEGE ROGER POULNARD,LYON,AIN,BAGE DOMMARTIN,PU,135,"12,0"
0010008D,COLLEGE SAINT-EXUPERY,LYON,AIN,VALSERHONE,PU,125,"10,7"
0010018P,COLLEGE DU REVERMONT,LYON,AIN,BOURG EN BRESSE,PU,109,"10,2"
0010022U,COLLEGE HENRY DUNANT,LYON,AIN,CULOZ BEON,PU,78,"11,5"
0010024W,COLLEGE GEORGES CHARPAK,LYON,AIN,GEX,PU,159,"10,6"
0010025X,COLLEGE PAUL SIXDENIER,LYON,AIN,PLATEAU D HAUTEVILLE,PU,69,"10,8"
0010026Y,COLLEGE PAUL CLAUDEL,LYON,AIN,LAGNIEU,PU,164,"12,0"
0010035H,COLLEGE LOUIS LUMIERE,LYON,AIN,OYONNAX,PU,136,"9,8"
0010036J,COLLEGE ROGER VAILLAND,LYON,AIN,PONCIN,PU,81,"10,8"
0010037K,COLLEGE LOUISE DE SAVOIE,LYON,AIN,PONT D AIN,PU,134,"11,4"
0010039M,COLLEGE DE L'ALBARINE,LYON,AIN,SAINT RAMBERT EN BUGEY,PU,59,"12,2"
0010040N,COLLEGE LOUIS VUITTON,LYON,AIN,SAINT TRIVIER DE COURTES,PU,59,"10,1"
0010041P,COLLEGE VAUGELAS,LYON,AIN,MEXIMIEUX,PU,214,"11,3"
0010042R,COLLEGE BEL AIR,LYON,AIN,THOISSEY,PU,101,"10,8"
0010046V,COLLEGE DU RENON,LYON,AIN,VONNAS,PU,97,"11,1"
0010066S,COLLEGE JEAN MOULIN,LYON,AIN,SAINT DIDIER DE FORMANS,PU,177,"11,9"
0010076C,COLLEGE PRIVE SAINTE MARIE,LYON,AIN,AMBERIEU EN BUGEY,PR,107,"12,2"
0010079F,COLLEGE PRIVE SAINT JOSEPH,LYON,AIN,BOURG EN BRESSE,PR,109,"10,7"
0010080G,COLLEGE PRIVE JEANNE D'ARC,LYON,AIN,BOURG EN BRESSE,PR,79,"11,5"
0010082J,COLLEGE PRIVE SAINT PIERRE,LYON,AIN,BOURG EN BRESSE,PR,189,"13,2"
0010083K,COLLEGE PRIVE SAINT LOUIS,LYON,AIN,DAGNEUX,PR,171,"12,0"
0010084L,COLLEGE PRIVE SAINT CHARLES,LYON,AIN,CHATILLON SUR CHALARONNE,PR,35,"10,9"
0010086N,COLLEGE PRIVE SAINT CHARLES,LYON,AIN,FEILLENS,PR,103,"11,6"
0010088R,COLLEGE PRIVE JEANNE D'ARC,LYON,AIN,GEX,PR,196,"15,0"
0010089S,COLLEGE PRIVE SAINT PIERRE,LYON,AIN,MARBOZ,PR,22,"13,0"
0010092V,COLLEGE PRIVE SAINT JOSEPH,LYON,AIN,OYONNAX,PR,124,"12,2"
0010095Y,COLLEGE PRIVE SAINT JOSEPH,LYON,AIN,SAINT DIDIER SUR CHALARONNE,PR,134,"11,5"
0010097A,COLLEGE PRIVE LA SIDOINE,LYON,AIN,TREVOUX,PR,141,"12,6"
0010794H,COLLEGE DU VALROMEY,LYON,AIN,ARTEMARE,PU,76,"11,4"
0010796K,COLLEGE EMILE CIZAIN,LYON,AIN,MONTLUEL,PU,144,"12,0"
0010802S,COLLEGE AMPERE,LYON,AIN,OYONNAX,PU,148,"9,7"
0010820L,COLLEGE GEORGE SAND,LYON,AIN,PONT DE VEYLE,PU,109,"11,5"
0010821M,COLLEGE EUGENE DUBOIS,LYON,AIN,CHATILLON SUR CHALARONNE,PU,130,"11,4"
0010823P,COLLEGE DE BROU,LYON,AIN,BOURG EN BRESSE,PU,100,"11,3"
0010895T,COLLEGE DE L'HUPPE,LYON,AIN,MONTREVEL EN BRESSE,PU,152,"11,5"
0010896U,COLLEGE INTERNATIONAL,LYON,AIN,FERNEY VOLTAIRE,PU,254,"10,6"
0010938P,COLLEGE LES COTES,LYON,AIN,PERONNAS,PU,109,"11,8"
0010939R,COLLEGE LEON COMAS,LYON,AIN,VILLARS LES DOMBES,PU,132,"12,0"
0010964T,COLLEGE ANNE FRANK,LYON,AIN,MIRIBEL,PU,106,"12,7"
0010974D,COLLEGE VICTOIRE DAUBIE,LYON,AIN,BOURG EN BRESSE,PU,115,"10,3"
0010975E,COLLEGE JACQUES PREVERT,LYON,AIN,SAINT GENIS POUILLY,PU,153,"9,6"
0010987T,COLLEGE JEAN ROSTAND,LYON,AIN,ARBENT,PU,148,"10,4"
0011011U,COLLEGE MARCEL ANTHONIOZ,LYON,AIN,DIVONNE LES BAINS,PU,100,"11,3"
0011066D,COLLEGE LOUIS DUMONT,LYON,AIN,VALSERHONE,PU,118,"11,0"
0011067E,COLLEGE SABINE ZLATIN,LYON,AIN,BELLEY,PU,188,"10,5"
0011068F,COLLEGE XAVIER BICHAT,LYON,AIN,NANTUA,PU,70,"12,1"
0011070H,COLLEGE ANTOINE CHINTREUIL,LYON,AIN,PONT DE VAUX,PU,86,"12,0"
0011071J,COLLEGE LE GRAND CEDRE,LYON,AIN,COLIGNY,PU,90,"11,1"
0011142L,COLLEGE MARCEL AYME,LYON,AIN,DAGNEUX,PU,114,"11,9"
0011150V,COLLEGE PRIVE INSTITUTION SAINTE ANNE - LAMARTINE,LYON,AIN,BELLEY,PR,94,"12,9"
0011151W,COLLEGE PRIVE SAINT JOSEPH,LYON,AIN,MIRIBEL,PR,78,"12,6"
0011193S,COLLEGE LEON-MARIE FOURNET,LYON,AIN,JASSANS RIOTTIER,PU,96,"11,4"
0011257L,COLLEGE DE LA DOMBES,LYON,AIN,SAINT ANDRE DE CORCY,PU,106,"12,2"
0011275F,COLLEGE THOMAS RIBOUD,LYON,AIN,BOURG EN BRESSE,PU,125,"11,1"
0011300H,COLLEGE DE LA PLAINE DE L'AIN,LYON,AIN,LEYMENT,PU,149,"12,1"
0011301J,COLLEGE LE JORAN,LYON,AIN,PREVESSIN MOENS,PU,147,"11,3"
